applicant_id,fico_score,annual_income,loan_amount,loan_term_months,employment_status,years_employed,savings_balance,approved
BCC-1095,569,50300,6300,24,Salaried,1,12800,Approved
BCC-1215,740,42300,18100,60,Self-employed,14,10200,Approved
BCC-1117,672,66100,39700,24,Salaried,9,3500,Rejected
BCC-1038,612,54500,24200,48,Salaried,2,23800,Rejected
BCC-1024,640,113400,31100,24,Salaried,8,38500,Approved
BCC-1067,638,59400,37300,60,Self-employed,9,10400,Rejected
BCC-1186,683,54900,31400,24,Self-employed,6,22200,Approved
BCC-1200,694,60400,19200,60,Self-employed,3,1000,Rejected
BCC-1010,732,20000,7600,60,Self-employed,0,3200,Rejected
BCC-1120,598,20000,5700,24,Salaried,17,2600,Approved
BCC-1029,700,27500,11400,24,Self-employed,10,5000,Approved
BCC-1153,636,79900,50000,24,Salaried,0,1500,Rejected
BCC-1068,900,50400,32600,48,Self-employed,3,4900,Rejected
BCC-1075,718,62600,6600,36,Salaried,7,18800,Approved
BCC-1005,579,63900,26700,24,Salaried,0,12200,Rejected
BCC-1056,651,38200,7500,36,Self-employed,5,7800,Approved
BCC-1114,675,58900,30800,36,Salaried,4,11300,Rejected
BCC-1139,850,54200,34700,48,Salaried,8,23100,Approved
BCC-1194,593,50600,11700,36,Salaried,1,2000,Rejected
BCC-1065,726,45700,7600,48,Salaried,14,3400,Approved
BCC-1142,521,84000,43600,36,Salaried,10,36800,Rejected
BCC-1196,715,86300,25100,36,Self-employed,7,30300,Approved
BCC-1136,692,64100,16200,36,Salaried,1,5400,Approved
BCC-1031,642,66900,32500,60,Salaried,6,28600,Approved
BCC-1012,675,66200,23900,60,Salaried,6,10600,Approved
BCC-1035,749,"$78,200","$41,700",48,Self-employed,17,"$34,400",Approved
BCC-1028,699,133500,29900,36,Salaried,8,2700,Approved
BCC-1042,623,64000,37600,60,Salaried,6,3700,Rejected
BCC-1092,640,103300,18900,24,Self-employed,17,15400,Approved
BCC-1115,633,26400,15000,24,Self-employed,8,4400,Rejected
BCC-1155,,118500,30600,24,Salaried,6,16100,Approved
BCC-1051,,66200,9200,24,Salaried,8,18900,Approved
BCC-1132,714,"$43,200","$15,000",24,Self-employed,16,"$9,000",Approved
BCC-1183,747,47800,6100,999,Salaried,0,17100,Approved
BCC-1076,640,-5000,14100,24,Self-employed,9,1600,Approved
BCC-1041,708,51100,25800,24,Self-employed,6,13400,Rejected
BCC-1097,600,39900,10400,12,Salaried,0,2900,Rejected
BCC-1140,699,54000,23800,36,Self-employed,15,9800,Rejected
BCC-1078,714,20000,3800,36,Self-employed,0,3500,Approved
BCC-1135,599,64100,6700,24,Salaried,6,4000,Approved
BCC-1026,707,29500,9700,24,Self-employed,6,7000,Approved
BCC-1213,636,20000,13000,24,Salaried,7,5100,Rejected
BCC-1172,638,45700,25200,12,Salaried,14,3900,Rejected
BCC-1158,635,99700,29000,36,Self-employed,7,42000,Approved
BCC-1000,691,"$52,200","$23,500",12,Self-employed,15,"$4,600",Rejected
BCC-1002,723,62600,11300,12,Salaried,0,6000,Approved
BCC-1077,681,48300,18800,12,Self-employed,23,20600,Approved
BCC-1046,731,62000,33500,12,Salaried,10,24200,Approved
BCC-1100,644,78300,29100,24,Self-employed,16,18900,Approved
BCC-1111,900,74600,21300,12,Salaried,0,18900,Approved
BCC-1138,810,35600,16000,36,Self-employed,9,1600,Rejected
BCC-1165,607,37400,23900,12,Self-employed,0,15400,Rejected
BCC-1090,717,88600,30000,48,Salaried,2,200,Approved
BCC-1085,704,30600,5400,36,Self-employed,17,400,Approved
BCC-1161,619,92000,48500,36,Salaried,8,2500,Rejected
BCC-1152,553,-5000,36900,24,Self-employed,7,34600,Rejected
BCC-1098,698,83700,30900,60,Salaried,3,29200,Approved
BCC-1036,662,"$69,300","$27,900",24,Salaried,5,"$15,600",Approved
BCC-1182,641,"$79,300","$42,900",36,Salaried,0,"$4,500",Rejected
BCC-1061,647,20000,11400,36,Salaried,5,2900,Rejected
BCC-1022,756,20000,4400,60,Salaried,9,1100,Approved
BCC-1211,577,70300,12300,60,Salaried,10,2000,Approved
BCC-1184,700,"$71,600","$16,400",12,Self-employed,1,"$17,600",Approved
BCC-1033,613,32300,14800,36,Salaried,10,11700,Approved
BCC-1011,724,42600,13700,48,Self-employed,10,1100,Approved
BCC-1046,731,62000,33500,12,Salaried,10,24200,Approved
BCC-1180,761,53300,30700,48,Salaried,8,20200,Approved
BCC-1006,679,123500,50000,36,Salaried,9,9800,Approved
BCC-1027,696,105800,38200,24,Self-employed,12,47500,Approved
BCC-1141,601,68000,24700,60,Salaried,6,24800,Approved
BCC-1019,667,44200,19800,48,Salaried,10,2100,Rejected
BCC-1085,704,30600,5400,36,Self-employed,17,400,Approved
BCC-1156,679,52700,26500,24,Salaried,4,21400,Approved
BCC-1004,533,60400,16100,24,Salaried,11,5600,Approved
BCC-1122,685,59900,23500,12,Self-employed,14,23600,Approved
BCC-1032,634,102900,47000,24,Salaried,13,26700,Approved
BCC-1164,729,20000,7100,12,Salaried,18,4800,Approved
BCC-1062,681,82100,25000,999,Salaried,13,12800,Approved
BCC-1128,625,20000,5700,12,Salaried,1,6000,Approved
BCC-1208,609,22100,14300,60,Salaried,8,2400,Rejected
BCC-1173,584,69900,8400,12,Salaried,14,9000,Approved
BCC-1070,581,51400,13900,24,Salaried,5,17500,Approved
BCC-1176,781,77800,12500,60,Salaried,10,30400,Approved
BCC-1064,720,29100,12500,36,Self-employed,2,1200,Rejected
BCC-1044,678,70300,26500,24,Self-employed,10,6100,Approved
BCC-1148,745,63300,10300,60,Salaried,7,12300,Approved
BCC-1040,722,51800,19800,12,Salaried,8,9300,Approved
BCC-1123,765,68800,10900,12,Self-employed,150,700,Approved
BCC-1023,659,20000,8500,24,Self-employed,13,7700,Approved
BCC-1171,701,59400,36200,60,Salaried,6,8300,Rejected
BCC-1167,697,71600,38400,12,Self-employed,5,12800,Rejected
BCC-1081,624,20000,12900,60,Self-employed,10,0,Rejected
BCC-1039,716,22300,6700,48,Self-employed,2,3800,Approved
BCC-1193,772,77500,36400,60,Self-employed,6,13700,Approved
BCC-1047,686,"$67,100","$18,300",12,Self-employed,12,"$17,800",Approved
BCC-1094,552,79500,47600,12,Salaried,7,13300,Rejected
BCC-1190,791,"$20,000","$2,300",36,Salaried,23,"$4,100",Approved
BCC-1043,686,43600,26400,24,Salaried,12,6300,Rejected
BCC-1145,641,"$96,500","$50,000",24,Self-employed,8,"$37,800",Rejected
BCC-1207,585,102700,50000,36,Self-employed,12,45200,Rejected
BCC-1003,736,29800,18500,12,Salaried,11,1300,Rejected
BCC-1105,656,77000,35200,12,Self-employed,7,20600,Approved
BCC-1053,648,112400,14700,36,Salaried,14,47200,Approved
BCC-1133,654,79200,21300,36,Self-employed,13,18600,Approved
BCC-1209,647,68200,17900,48,Self-employed,0,1500,Rejected
BCC-1177,681,64000,30200,12,Self-employed,5,20400,Rejected
BCC-1097,600,39900,10400,12,Salaried,0,2900,Rejected
BCC-1049,675,58000,21600,60,Salaried,6,10700,Approved
BCC-1163,613,25500,16400,48,Salaried,150,1800,Rejected
BCC-1080,702,102900,50000,24,Salaried,9,26800,Approved
BCC-1034,713,51600,14100,60,Self-employed,1,4000,Approved
BCC-1007,648,106800,48800,12,Salaried,12,6500,Rejected
BCC-1110,700,97300,38600,48,Salaried,0,21100,Rejected
BCC-1091,663,69400,24900,12,Salaried,11,24600,Approved
BCC-1083,643,49500,27800,36,Self-employed,11,15200,Rejected
BCC-1205,667,48700,14000,60,Self-employed,13,11300,Approved
BCC-1129,605,96400,19800,12,Salaried,12,16300,Approved
BCC-1089,701,103000,50000,60,Self-employed,8,21600,Rejected
BCC-1008,669,35800,22100,24,Salaried,10,13900,Rejected
BCC-1013,749,89400,14800,24,Self-employed,5,10700,Approved
BCC-1059,738,64800,7000,36,Salaried,8,19200,Approved
BCC-1198,670,"$56,200","$14,900",60,Salaried,7,"$23,500",Approved
BCC-1131,574,80000,48800,36,Salaried,3,1400,Rejected
BCC-1017,603,53800,18000,60,Self-employed,16,22500,Approved
BCC-1166,735,69400,22600,48,Self-employed,0,17700,Rejected
BCC-1072,606,96300,47000,36,Self-employed,2,35800,Rejected
BCC-1218,659,41000,15300,36,Salaried,20,14800,Approved
BCC-1134,567,85800,36800,12,Salaried,17,8300,Rejected
BCC-1027,696,105800,38200,24,Self-employed,12,47500,Approved
BCC-1212,672,54600,22700,12,Salaried,12,4800,Approved
BCC-1063,,69800,12900,60,Self-employed,12,11900,Approved
BCC-1054,637,98900,25200,24,Salaried,15,17400,Approved
BCC-1107,646,56300,29300,12,Salaried,8,9500,Rejected
BCC-1050,690,39200,6400,12,Salaried,0,7600,Approved
BCC-1204,526,34900,5100,24,Salaried,0,3400,Approved
BCC-1174,581,76300,23300,60,Salaried,9,33100,Rejected
BCC-1192,643,40400,23900,24,Self-employed,6,6600,Rejected
BCC-1189,,24300,11500,60,Salaried,3,5300,Approved
BCC-1177,681,64000,30200,12,Self-employed,5,20400,Rejected
BCC-1203,715,20000,4100,24,Self-employed,11,8800,Approved
BCC-1169,667,21300,8600,12,Salaried,12,600,Rejected
BCC-1058,609,89000,45300,48,Self-employed,5,18500,Rejected
BCC-1048,718,59400,33300,24,Self-employed,0,9600,Rejected
BCC-1088,704,73100,10500,60,Salaried,4,16300,Approved
BCC-1021,622,55500,18000,36,Salaried,9,15500,Approved
BCC-1057,,29100,7900,48,Salaried,11,7400,Approved
BCC-1160,602,"$60,800","$7,400",36,Salaried,8,"$3,200",Approved
BCC-1159,587,46100,7800,12,Self-employed,16,17400,Approved
BCC-1187,584,79600,8200,36,Salaried,0,34800,Approved
BCC-1191,657,20000,6400,12,Self-employed,19,3500,Rejected
BCC-1129,605,96400,19800,12,Salaried,12,16300,Approved
BCC-1037,611,48200,16300,36,Salaried,0,10700,Rejected
BCC-1157,739,20000,10200,60,Self-employed,16,400,Rejected
BCC-1217,764,30200,18200,24,Self-employed,13,2700,Approved
BCC-1001,597,64300,26700,24,Salaried,6,19700,Approved
BCC-1052,568,55500,31300,12,Self-employed,8,23100,Rejected
BCC-1149,681,80000,40200,36,Self-employed,6,1300,Rejected
BCC-1130,643,67600,7700,12,Salaried,0,18800,Approved
BCC-1151,598,92600,37400,48,Salaried,7,41400,Rejected
BCC-1103,722,77500,43700,24,Salaried,17,29800,Approved
BCC-1099,607,27400,11600,36,Salaried,9,6100,Approved
BCC-1116,686,40600,15300,60,Self-employed,13,7600,Rejected
BCC-1087,671,91800,29000,12,Salaried,15,35200,Approved
BCC-1202,676,42500,25000,24,Self-employed,10,3900,Rejected
BCC-1074,,51800,23400,12,Salaried,1,13900,Approved
BCC-1214,647,"$82,100","$39,900",48,Salaried,17,"$33,700",Rejected
BCC-1210,734,"$30,900","$10,000",60,Salaried,6,"$2,100",Approved
BCC-1121,683,65900,24700,36,Self-employed,11,9000,Rejected
BCC-1139,850,54200,34700,48,Salaried,8,23100,Approved
BCC-1020,657,35200,11500,36,Self-employed,13,1800,Rejected
BCC-1188,574,20000,7700,48,Salaried,2,6300,Rejected
BCC-1071,591,62000,29600,48,Self-employed,11,7200,Rejected
BCC-1106,603,20000,9400,60,Self-employed,11,7900,Rejected
BCC-1014,703,39000,6800,36,Salaried,13,10700,Approved
BCC-1092,640,103300,18900,24,Self-employed,17,15400,Approved
BCC-1179,690,39700,20900,12,Salaried,9,17400,Approved
BCC-1102,645,88500,20700,48,Self-employed,4,38400,Rejected
